Number of Samples,Number of Expert Queries,Mean Distance Travelled,STDEV Distance Travelled,Mean Reward,STDEV Reward
40428,39928,80.65293640586523,0.0,12.589999999999776,0.0
41687,41187,63.77873080463985,0.0,9.559999999999842,1.7763568394002505e-15
42643,42143,77.5427389978994,0.0,12.119999999999788,1.7763568394002505e-15
43855,43355,52.929430237528685,0.0,7.889999999999875,8.881784197001252e-16
44644,44144,63.32967025117106,7.105427357601002e-15,9.519999999999841,0.0
45596,45096,81.79771867649086,0.0,12.88999999999977,0.0
46885,46385,82.02781960042913,0.0,13.049999999999766,0.0
48190,47690,67.55586475401743,0.0,10.329999999999824,0.0
49223,48723,81.65357409440638,0.0,12.819999999999771,0.0
50505,50005,82.38772669133697,0.0,12.89999999999977,0.0
51795,51295,56.26134986511498,0.0,8.549999999999864,1.7763568394002505e-15
52650,52150,129.62322606421247,0.0,20.60000000000042,0.0
54710,54210,74.84724666680503,1.4210854715202004e-14,11.699999999999793,1.7763568394002505e-15
55880,55380,90.38023541736644,1.4210854715202004e-14,14.089999999999744,0.0
57289,56789,125.65182751563611,0.0,19.97000000000032,3.552713678800501e-15
59286,58786,56.875665675943175,7.105427357601002e-15,8.439999999999866,1.7763568394002505e-15
60130,59630,79.74426758090638,0.0,12.559999999999777,0.0
61386,60886,166.88005124909978,0.0,26.39000000000133,3.552713678800501e-15
64025,63525,33.59753840671577,7.105427357601002e-15,5.209999999999934,8.881784197001252e-16
64546,64046,103.64718046275365,1.4210854715202004e-14,16.579999999999792,0.0
66204,65704,124.96777492150093,1.4210854715202004e-14,19.800000000000296,0.0
68184,67684,71.57809885333236,1.4210854715202004e-14,10.979999999999809,1.7763568394002505e-15
69282,68782,82.72306143753619,1.4210854715202004e-14,13.099999999999763,1.7763568394002505e-15
70592,70092,130.23712810397643,0.0,20.60000000000042,0.0
72652,72152,58.0007528144126,7.105427357601002e-15,8.61999999999986,0.0
73514,73014,62.85621230548842,7.105427357601002e-15,9.479999999999844,1.7763568394002505e-15
74462,73962,75.89409166991274,0.0,11.699999999999793,1.7763568394002505e-15
75632,75132,158.1602063452273,2.842170943040401e-14,25.030000000001113,0.0
78135,77635,259.59741746965625,0.0,40.81000000000045,0.0
82216,81716,122.45451935659283,0.0,19.51000000000025,0.0
84167,83667,103.58646610244912,0.0,16.56999999999979,0.0
85824,85324,52.62402336149755,0.0,7.829999999999876,1.7763568394002505e-15
86607,86107,28.06880721557162,3.552713678800501e-15,4.41999999999995,0.0
87049,86549,94.19589023023546,0.0,14.859999999999726,1.7763568394002505e-15
88535,88035,122.33290781158844,0.0,19.69000000000028,0.0
90504,90004,108.27429361176328,0.0,17.35999999999991,3.552713678800501e-15
92240,91740,57.707440498914835,7.105427357601002e-15,8.729999999999858,0.0
93113,92613,119.95606918504828,2.842170943040401e-14,19.300000000000217,0.0
95043,94543,61.096047468870054,7.105427357601002e-15,9.179999999999849,0.0
95961,95461,80.11109074319641,0.0,12.40999999999978,0.0
97202,96702,76.56088985526749,1.4210854715202004e-14,11.839999999999792,0.0
98386,97886,57.19094900241898,7.105427357601002e-15,8.60999999999986,0.0
99247,98747,42.62387495480301,0.0,6.379999999999908,0.0
99885,99385,57.85093743818071,7.105427357601002e-15,8.66999999999986,0.0
100752,100252,30.915259840507595,3.552713678800501e-15,4.87999999999994,0.0
101240,100740,30.014043819576347,0.0,4.7299999999999445,8.881784197001252e-16
101713,101213,37.614230110244634,0.0,5.7199999999999225,0.0
102285,101785,33.11327455647994,0.0,5.089999999999935,8.881784197001252e-16
102794,102294,82.56842561698927,1.4210854715202004e-14,13.009999999999767,0.0
104095,103595,74.71489020007404,0.0,11.539999999999797,1.7763568394002505e-15
105249,104749,79.67815321932822,0.0,12.51999999999978,1.7763568394002505e-15
106501,106001,36.37600052423567,0.0,5.559999999999926,0.0
107057,106557,56.47369752986001,0.0,8.399999999999865,0.0
107897,107397,60.58610002256175,7.105427357601002e-15,9.11999999999985,0.0
108809,108309,62.02243778487616,0.0,9.169999999999849,0.0
109726,109226,30.651253177373928,3.552713678800501e-15,4.8299999999999415,0.0
