Number of Samples,Number of Expert Queries,Mean Distance Travelled,STDEV Distance Travelled,Mean Reward,STDEV Reward
500,500,38.683928794276184,9.471083680110807,100.00000000001424,1.4210854715202004e-14
2164,2164,126.17328976249568,0.014603987435885524,70.79399999999931,0.03746998799040956
2280,2280,125.51076245891895,0.024036756576429587,70.41299999999913,0.03925557285280113
2388,2388,126.45138476669558,0.028137346779598463,69.62499999999872,0.035284557528772756
2413,2413,20.700953318015547,12.84985108560634,13.714000000000226,7.826298230965405
2455,2455,126.30947875249417,0.009048693851988018,72.52600000000021,0.030397368307156877
2488,2488,125.66099643659413,0.013922413589127578,70.23899999999904,0.02022374841616703
2572,2572,125.86861025547856,0.010429459774623315,70.75399999999931,0.018547236991000894
2573,2573,13.625423267598777,0.04675534435270859,9.230999999999847,0.023430749027719463
2681,2681,125.79977461516728,0.015717206361587594,70.7599999999993,0.022360679775009336
2713,2713,126.4569724411956,0.007369879393632144,71.18699999999951,0.016763054614248783
2788,2788,126.04904912877001,0.007743903434958909,71.24299999999955,0.023259406699237914
2800,2800,126.01626692020605,0.009592126223267564,69.05499999999843,0.016881943016142768
2844,2844,69.69823779875851,0.06730793686508751,39.333000000000744,0.03796050579219706
2901,2901,126.35886564266556,0.007670741262002331,70.75999999999931,0.026832815730011204
2944,2944,126.36558569145066,0.010621379652253033,70.61599999999922,0.016248076809280233
2995,2995,126.05210643315093,0.042189657249274704,69.69699999999875,0.131000000000067
3037,3037,81.78219266519764,22.27194586791733,47.6450000000003,12.417923538176522
